Perturbed dimension,Perturbed dimension display,Threshold perturbation,Threshold delta,Weight perturbation,Weight delta,Applied T_R,Applied T_A,T_C_direct,T_C_review,T_R clipped,T_A clipped,New target weight,Admitted,Delta admitted,Not admitted,Delta not admitted,Admission flips,Admission flip rate,Decision-category flips,Lost admissions,New admissions,Lost client IDs,New client IDs,Admitted-set Jaccard,Direct auto-accept,Review accept,Remediate,Auto-reject
source_reliability,Source Reliability,+30%,0.3,+10%,0.1,3.9000000000000004,5.0,5.0,4.45,False,True,0.22000000000000003,3,-9,17,9,9,0.45,15,9,0,client_001|client_003|client_005|client_008|client_010|client_011|client_015|client_017|client_019,,0.25,0,3,3,14
source_reliability,Source Reliability,+30%,0.3,+20%,0.2,3.9000000000000004,5.0,5.0,4.45,False,True,0.24,3,-9,17,9,9,0.45,15,9,0,client_001|client_003|client_005|client_008|client_010|client_011|client_015|client_017|client_019,,0.25,0,3,3,14
source_reliability,Source Reliability,+30%,0.3,+30%,0.3,3.9000000000000004,5.0,5.0,4.45,False,True,0.26,3,-9,17,9,9,0.45,15,9,0,client_001|client_003|client_005|client_008|client_010|client_011|client_015|client_017|client_019,,0.25,0,3,3,14
data_quality,Data Quality,-30%,-0.3,-30%,-0.3,2.0999999999999996,2.8,2.8,2.4499999999999997,False,False,0.17500000000000002,12,0,8,0,0,0.0,7,0,0,,,1.0,12,0,4,4
data_quality,Data Quality,-30%,-0.3,-20%,-0.2,2.0999999999999996,2.8,2.8,2.4499999999999997,False,False,0.2,12,0,8,0,0,0.0,9,0,0,,,1.0,12,0,6,2
data_quality,Data Quality,-30%,-0.3,-10%,-0.1,2.0999999999999996,2.8,2.8,2.4499999999999997,False,False,0.225,12,0,8,0,0,0.0,11,0,0,,,1.0,12,0,8,0
data_quality,Data Quality,-30%,-0.3,0%,0.0,2.0999999999999996,2.8,2.8,2.4499999999999997,False,False,0.25,12,0,8,0,0,0.0,11,0,0,,,1.0,12,0,8,0
data_quality,Data Quality,-30%,-0.3,+10%,0.1,2.0999999999999996,2.8,2.8,2.4499999999999997,False,False,0.275,12,0,8,0,0,0.0,11,0,0,,,1.0,12,0,8,0
data_quality,Data Quality,-30%,-0.3,+20%,0.2,2.0999999999999996,2.8,2.8,2.4499999999999997,False,False,0.30000000000000004,12,0,8,0,0,0.0,11,0,0,,,1.0,12,0,8,0
data_quality,Data Quality,-30%,-0.3,+30%,0.3,2.0999999999999996,2.8,2.8,2.4499999999999997,False,False,0.325,12,0,8,0,0,0.0,11,0,0,,,1.0,12,0,8,0
data_quality,Data Quality,-20%,-0.2,-30%,-0.3,2.4000000000000004,3.2,3.2,2.8000000000000003,False,False,0.17500000000000002,12,0,8,0,0,0.0,7,0,0,,,1.0,12,0,4,4
data_quality,Data Quality,-20%,-0.2,-20%,-0.2,2.4000000000000004,3.2,3.2,2.8000000000000003,False,False,0.2,12,0,8,0,0,0.0,7,0,0,,,1.0,12,0,4,4
