Omitted dimension,Omitted dimension display,Was critical dimension,Client,Baseline admitted,Ablated admitted,Admission status changed,Baseline decision,Ablated decision,Decision category changed,Baseline HPS,Ablated HPS,Delta HPS,Baseline critical HPS,Ablated critical HPS,Delta critical HPS,Baseline critical minimum,Ablated critical minimum
regulatory,Regulatory,True,client_004,False,False,False,AUTO_REJECT,AUTO_REJECT,False,2.2375,2.4558823529411766,0.2183823529411768,2.3392857142857144,2.7045454545454546,0.3652597402597402,1.0,1.0
regulatory,Regulatory,True,client_005,True,True,False,ACCEPT_AFTER_AUTOMATED_REVIEW,ACCEPT_AFTER_AUTOMATED_REVIEW,False,3.5,3.588235294117647,0.08823529411764719,3.714285714285715,3.9090909090909096,0.19480519480519476,3.0,3.0
regulatory,Regulatory,True,client_006,False,False,False,REMEDIATE,REMEDIATE,False,3.05,3.235294117647059,0.18529411764705905,3.0714285714285716,3.3636363636363638,0.29220779220779214,2.0,2.0
regulatory,Regulatory,True,client_007,True,True,False,DIRECT_AUTO_ACCEPT,DIRECT_AUTO_ACCEPT,False,4.6,4.529411764705882,-0.0705882352941174,4.857142857142858,4.818181818181818,-0.03896103896103931,4.0,4.0
regulatory,Regulatory,True,client_008,True,True,False,ACCEPT_AFTER_AUTOMATED_REVIEW,ACCEPT_AFTER_AUTOMATED_REVIEW,False,3.5,3.588235294117647,0.08823529411764719,3.714285714285715,3.9090909090909096,0.19480519480519476,3.0,3.0
regulatory,Regulatory,True,client_009,False,False,False,AUTO_REJECT,AUTO_REJECT,False,2.3,2.5294117647058827,0.22941176470588287,2.428571428571429,2.8181818181818183,0.3896103896103895,1.0,1.0
regulatory,Regulatory,True,client_010,True,True,False,DIRECT_AUTO_ACCEPT,DIRECT_AUTO_ACCEPT,False,4.25,4.294117647058824,0.04411764705882426,4.357142857142857,4.454545454545455,0.09740259740259827,4.0,4.0
regulatory,Regulatory,True,client_011,True,True,False,ACCEPT_AFTER_AUTOMATED_REVIEW,ACCEPT_AFTER_AUTOMATED_REVIEW,False,3.5,3.588235294117647,0.08823529411764719,3.714285714285715,3.9090909090909096,0.19480519480519476,3.0,3.0
regulatory,Regulatory,True,client_012,False,False,False,REMEDIATE,REMEDIATE,False,3.05,3.235294117647059,0.18529411764705905,3.0714285714285716,3.3636363636363638,0.29220779220779214,2.0,2.0
regulatory,Regulatory,True,client_013,False,False,False,AUTO_REJECT,AUTO_REJECT,False,2.3,2.5294117647058827,0.22941176470588287,2.428571428571429,2.8181818181818183,0.3896103896103895,1.0,1.0
